"";"chr";"name_600k";"pos_bp_600k";"pos_cM_600k";"name_50k";"pos_bp_50k";"pos_cM_estimated"
"1";1;"AX-90528437";277707;NA;"PZE-101000161";325012;0
"2";1;"AX-91333307";530913;NA;"PZE-101000256";485953;0,421279738850502
"3";1;"AX-90528443";703588;NA;"PZE-101000344";659354;0,89659775166664
"4";1;"AX-91333310";715140;NA;"PZE-101000348";681011;0,956997826083161
"5";1;"AX-90528445";715833;NA;"PZE-101000349";681704;0,958933295949694
"6";1;"AX-90528447";793186;0,134215281005305;"PZE-101000360";763292;1,18774039474036
"7";1;"AX-90528448";854267;0,306313779913701;"PZE-101000370";824379;1,35983889364876
"8";1;"AX-91333315";1012519;0,750390444563665;"PZE-101000424";982217;1,80391555829872
"9";1;"AX-90528450";1022873;0,779354528296792;"PZE-101000431";992572;1,83287964203185
"10";1;"AX-91333320";1030066;0,799469545382373;"PZE-101000451";999765;1,85299465911743
"11";1;"AX-90528458";1610597;2,40529654008963;"PZE-101000659";1567151;3,45882165382468
"12";1;"AX-90528461";1716950;2,69573285418221;"PZE-101000740";1666173;3,74925796791727
"13";1;"AX-90528462";1737177;2,75083945997852;"PZE-101000754";1686635;3,80436457371358
"14";1;"AX-90528465";1815932;2,96500287537241;"PZE-101000788";1761938;4,01852798910746
"15";1;"AX-90561096";2021145;3,52008812488303;"SYN10558";1957167;4,57361323861809
"16";1;"AX-90528466";2032255;3,55001788207163;"PZE-101001044";1968281;4,60354299580669
"17";1;NA;NA;NA;"PZE-101000530";1167803;2,31943551780942
"18";1;"AX-90528467";2105319;3,74653715977749;"PZE-101001094";2038772;4,80006227351254
"19";1;"AX-90528470";2110533;3,76054054212681;"PZE-101001108";2043987;4,81406565586187
"20";1;"AX-91366998";2158289;3,88867230987445;"SYN13282";2091746;4,9421974236095
"21";1;"AX-90528476";2386298;4,49726179627701;"PZE-101001280";2306521;5,55078691001207
"22";1;"AX-90526438";2629840;5,14154472413296;"PUT-163a-5499487-2275";2538655;6,19506983786802
"23";1;"AX-90528479";2775865;5,5250071069833;"PZE-101001587";2687631;6,57853222071836
"24";1;"AX-91375878";2781909;5,54083290436296;"SYN38927";2693676;6,59435801809802
"25";1;"AX-90570947";2810923;5,61675347579546;"SYN38928";2785043;6,67027858953052
"26";1;"AX-90569692";2884631;5,80924805430814;"SYN35329";2742699;6,86277316804319
"27";1;"AX-90569699";2897280;5,84222774346854;"SYN35344";2755347;6,8957528572036
